"stadt_touch_einfach","stadt_touch_komplex","stadt_geste_einfach","stadt_geste_komplex","autobahn_touch_einfach","autobahn_touch_komplex","autobahn_geste_einfach","autobahn_geste_komplex"
6,6,8,4,7,6,6,5
6,2,18,9,-3,-2,18,6
8,5,10,12,5,-3,9,13
9,1,8,9,6,9,8,8
8,-2,13,9,6,6,10,14
8,5,7,10,10,6,5,10
1,2,3,4,2,0,2,-4
13,3,14,16,16,16,13,14
1,4,9,10,3,-3,8,7
6,8,4,6,4,6,5,7
3,1,7,3,2,3,5,2
5,-1,16,16,4,-1,12,16
0,0,4,0,0,0,7,7
11,4,17,17,8,15,17,16
-4,8,-1,8,3,-10,0,4
9,6,17,17,9,8,16,18
8,-1,17,17,3,7,17,16
8,1,16,17,10,10,17,16
3,6,11,8,7,5,13,10
4,8,4,5,-1,2,10,9
12,5,18,12,14,12,15,14
-3,3,18,16,14,9,18,18
-1,-3,16,15,-8,-6,11,16
3,6,8,0,-6,2,4,8
2,4,18,18,-1,9,17,18
5,1,9,6,4,7,11,10
5,4,12,13,0,-2,13,15
7,3,18,18,4,5,18,18
8,4,7,6,8,8,7,7
3,6,18,15,4,7,18,17
5,0,13,11,3,4,10,15
-1,-2,9,15,1,0,12,13
17,3,18,18,18,18,18,14
1,3,-4,-7,5,-1,-3,-3
4,4,5,6,-1,5,3,9
0,-2,9,6,9,-7,7,9
0,1,2,0,0,-1,0,3
-9,-2,7,10,-4,2,8,-1
