"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,1,1,1,1,1,0,0,0,1,6,4,2
2,2,2,2,2,2,2,2,2,2,18,10,8
3,2,2,2,1,2,1,-2,1,0,9,4,5
4,2,0,1,1,0,1,1,1,1,8,5,3
5,1,1,1,1,2,1,1,1,1,10,6,4
6,1,1,1,1,1,1,-2,1,0,5,1,4
7,0,1,1,0,0,0,0,0,0,2,1,1
8,2,1,1,2,2,2,1,2,0,13,6,7
9,0,1,1,1,1,1,1,1,1,8,4,4
10,1,1,0,0,1,0,1,0,1,5,4,1
11,1,1,1,1,0,-1,1,1,0,5,3,2
12,1,1,1,1,1,2,2,2,1,12,6,6
13,1,1,1,1,1,0,1,1,0,7,4,3
14,2,2,2,2,2,2,2,2,1,17,9,8
15,1,-1,0,0,1,0,0,-1,0,0,2,-2
16,2,2,2,2,1,1,2,2,2,16,9,7
17,2,2,2,2,2,2,2,2,1,17,9,8
18,2,2,2,2,2,2,2,2,1,17,9,8
19,2,2,1,2,2,1,1,2,0,13,6,7
20,1,1,1,1,1,1,1,1,2,10,6,4
21,2,2,2,2,2,2,2,0,1,15,9,6
22,2,2,2,2,2,2,2,2,2,18,10,8
23,1,1,2,1,2,1,2,0,1,11,8,3
24,1,1,1,0,-1,0,0,1,1,4,2,2
25,2,2,2,2,2,2,2,2,1,17,9,8
26,-1,1,1,1,1,2,2,2,2,11,5,6
27,2,1,2,1,2,1,2,1,1,13,9,4
28,2,2,2,2,2,2,2,2,2,18,10,8
29,1,0,1,1,1,1,1,1,0,7,4,3
30,2,2,2,2,2,2,2,2,2,18,10,8
31,2,1,1,1,1,1,2,1,0,10,6,4
32,1,1,2,1,2,1,2,1,1,12,8,4
33,2,2,2,2,2,2,2,2,2,18,10,8
34,0,-1,0,-1,-1,0,0,-1,1,-3,0,-3
35,1,0,0,0,1,1,0,-1,1,3,3,0
36,1,0,1,1,0,1,1,1,1,7,4,3
37,0,0,0,0,0,0,0,0,0,0,0,0
38,1,1,1,1,1,0,1,1,1,8,5,3
