"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,1,0,1,1,1,0,0,0,1,5,4,1
2,1,1,1,2,1,1,-1,0,0,6,2,4
3,2,2,1,1,2,1,2,2,0,13,7,6
4,1,1,1,1,0,1,1,1,1,8,4,4
5,2,2,2,1,2,1,2,1,1,14,9,5
6,1,1,1,1,1,1,2,0,2,10,7,3
7,0,-1,0,-1,0,-1,0,-1,0,-4,0,-4
8,2,1,2,2,1,2,2,2,0,14,7,7
9,1,1,1,1,0,0,1,1,1,7,4,3
10,1,1,1,0,1,1,1,0,1,7,5,2
11,1,0,0,0,1,-1,1,0,0,2,3,-1
12,2,2,2,1,2,2,2,2,1,16,9,7
13,1,1,1,1,1,1,1,0,0,7,4,3
14,2,1,2,2,2,1,2,2,2,16,10,6
15,1,1,0,0,1,0,1,0,0,4,3,1
16,2,2,2,2,2,2,2,2,2,18,10,8
17,2,2,2,2,1,2,2,2,1,16,8,8
18,2,2,2,2,2,2,2,2,0,16,8,8
19,1,1,1,2,1,1,1,2,0,10,4,6
20,1,1,1,1,1,1,1,1,1,9,5,4
21,1,2,1,1,2,2,2,1,2,14,8,6
22,2,2,2,2,2,2,2,2,2,18,10,8
23,2,2,2,1,2,2,2,2,1,16,9,7
24,1,1,1,1,1,1,1,1,0,8,4,4
25,2,2,2,2,2,2,2,2,2,18,10,8
26,0,2,0,2,0,2,0,2,2,10,2,8
27,2,2,2,1,2,2,2,2,0,15,8,7
28,2,2,2,2,2,2,2,2,2,18,10,8
29,1,1,1,0,1,1,1,1,0,7,4,3
30,2,2,2,2,2,2,2,2,1,17,9,8
31,2,2,2,2,2,2,1,1,1,15,8,7
32,2,2,2,1,1,1,2,1,1,13,8,5
33,2,1,2,2,1,1,2,1,2,14,9,5
34,0,1,0,-1,-2,0,-1,-1,1,-3,-2,-1
35,1,1,1,1,1,1,1,1,1,9,5,4
36,1,1,1,1,1,1,1,1,1,9,5,4
37,0,1,0,0,0,1,1,0,0,3,1,2
38,1,0,0,-1,-1,-1,0,0,1,-1,1,-2
