"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,1,1,1,1,1,0,1,1,0,7,4,3
2,0,0,0,-1,-1,-1,0,0,0,-3,-1,-2
3,1,1,1,0,1,0,1,0,0,5,4,1
4,2,0,1,1,0,0,1,1,0,6,4,2
5,1,1,1,1,0,1,1,0,0,6,3,3
6,1,1,1,1,1,1,2,1,1,10,6,4
7,0,-1,0,1,0,0,0,1,1,2,1,1
8,2,2,2,2,2,2,2,2,0,16,8,8
9,0,0,1,0,1,0,1,0,0,3,3,0
10,1,0,0,0,1,0,1,0,1,4,4,0
11,1,-1,1,-1,1,0,0,0,1,2,4,-2
12,1,0,0,0,1,0,1,0,1,4,4,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,1,0,1,1,1,1,2,8,6,2
15,1,1,0,0,0,1,0,1,-1,3,0,3
16,1,1,1,1,1,1,1,1,1,9,5,4
17,2,0,0,0,0,0,1,1,-1,3,2,1
18,1,1,1,2,1,1,1,1,1,10,5,5
19,0,1,1,2,0,1,1,1,0,7,2,5
20,1,-1,-1,-1,0,0,0,0,1,-1,1,-2
21,2,2,1,1,2,2,2,1,1,14,8,6
22,2,1,1,2,2,1,2,1,2,14,9,5
23,1,-2,-1,-2,-1,-2,1,-2,0,-8,0,-8
24,1,-1,-1,-1,-1,-1,0,-2,0,-6,-1,-5
25,1,-1,-1,-1,0,-1,1,0,1,-1,2,-3
26,1,1,1,1,-2,1,0,0,1,4,1,3
27,1,0,0,-1,0,-1,0,0,1,0,2,-2
28,1,1,0,0,1,0,1,0,0,4,3,1
29,1,2,1,0,1,1,1,1,0,8,4,4
30,1,0,1,1,0,0,0,1,0,4,2,2
31,0,-1,0,1,0,0,1,1,1,3,2,1
32,1,-1,0,-1,0,0,1,0,1,1,3,-2
33,2,2,2,2,2,2,2,2,2,18,10,8
34,1,1,1,0,1,0,0,1,0,5,3,2
35,0,-1,0,0,0,-1,0,1,0,-1,0,-1
36,1,1,1,1,1,1,1,1,1,9,5,4
37,0,0,0,0,0,0,1,0,-1,0,0,0
38,0,-1,-1,0,0,-1,-1,-1,1,-4,-1,-3
