"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,1,1,1,1,1,0,1,1,1,8,5,3
2,2,2,2,2,2,2,2,2,2,18,10,8
3,1,2,1,1,2,1,1,1,0,10,5,5
4,1,1,1,1,0,1,1,1,1,8,4,4
5,2,2,2,1,2,1,1,1,1,13,8,5
6,1,1,1,1,0,1,1,0,1,7,4,3
7,0,0,0,1,0,0,1,0,1,3,2,1
8,2,1,2,2,2,1,2,2,0,14,8,6
9,1,1,1,1,1,1,1,1,1,9,5,4
10,1,0,0,0,1,0,1,0,1,4,4,0
11,1,1,1,1,1,0,1,1,0,7,4,3
12,2,2,2,1,2,2,2,2,1,16,9,7
13,1,1,0,0,0,1,0,1,0,4,1,3
14,2,2,2,2,2,2,2,2,1,17,9,8
15,1,-1,0,0,0,-1,0,-1,1,-1,2,-3
16,2,2,2,2,1,2,2,2,2,17,9,8
17,2,2,2,2,2,2,2,2,1,17,9,8
18,2,2,2,2,2,2,2,2,0,16,8,8
19,2,2,1,1,2,1,1,1,0,11,6,5
20,1,1,0,1,0,0,0,0,1,4,2,2
21,2,2,2,2,2,2,2,2,2,18,10,8
22,2,2,2,2,2,2,2,2,2,18,10,8
23,2,1,2,2,2,2,2,2,1,16,9,7
24,1,1,1,2,0,1,1,1,0,8,3,5
25,2,2,2,2,2,2,2,2,2,18,10,8
26,1,1,1,1,1,-1,1,2,2,9,6,3
27,2,2,1,1,2,1,1,1,1,12,7,5
28,2,2,2,2,2,2,2,2,2,18,10,8
29,1,0,1,1,1,1,1,1,0,7,4,3
30,2,2,2,2,2,2,2,2,2,18,10,8
31,2,2,2,2,0,2,1,1,1,13,6,7
32,2,1,1,1,1,1,2,-1,1,9,7,2
33,2,2,2,2,2,2,2,2,2,18,10,8
34,-1,0,-1,-1,-1,0,0,-1,1,-4,-2,-2
35,1,1,1,0,0,1,0,0,1,5,3,2
36,1,1,1,1,1,1,1,1,1,9,5,4
37,0,1,0,0,1,0,0,0,0,2,1,1
38,1,1,1,0,1,0,1,1,1,7,5,2
