"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,1,1,0,0,1,0,0,0,1,4,3,1
2,2,0,1,1,1,1,1,0,2,9,7,2
3,2,2,1,1,2,1,2,1,0,12,7,5
4,1,1,1,1,0,1,1,1,2,9,5,4
5,1,1,1,1,1,1,1,1,1,9,5,4
6,1,1,1,1,1,1,2,1,1,10,6,4
7,1,1,1,1,0,0,0,0,0,4,2,2
8,2,2,2,2,2,2,2,2,0,16,8,8
9,1,1,1,1,2,1,1,1,1,10,6,4
10,1,1,0,0,1,0,2,0,1,6,5,1
11,-1,0,1,0,1,0,1,0,1,3,3,0
12,2,2,2,1,2,2,2,2,1,16,9,7
13,0,0,0,0,0,0,0,0,0,0,0,0
14,2,2,2,2,2,2,2,2,1,17,9,8
15,1,1,1,1,2,0,1,1,0,8,5,3
16,2,2,2,2,2,2,2,2,1,17,9,8
17,2,2,2,2,2,2,2,2,1,17,9,8
18,2,2,2,2,2,2,2,2,1,17,9,8
19,0,1,1,2,1,0,1,1,1,8,4,4
20,1,0,0,1,1,0,1,0,1,5,4,1
21,2,1,1,1,2,2,1,1,1,12,7,5
22,2,1,2,2,2,1,2,2,2,16,10,6
23,2,2,2,1,2,2,2,1,1,15,9,6
24,1,0,0,0,-1,-1,0,0,1,0,1,-1
25,2,2,2,2,2,2,2,2,2,18,10,8
26,-1,1,1,1,1,1,0,1,1,6,2,4
27,2,2,2,1,1,1,2,1,1,13,8,5
28,2,2,2,2,2,2,2,2,2,18,10,8
29,1,0,0,1,1,1,1,1,0,6,3,3
30,1,1,2,2,2,2,2,2,1,15,8,7
31,2,2,1,1,1,2,1,1,0,11,5,6
32,2,2,2,1,2,2,2,1,1,15,9,6
33,2,2,2,2,2,2,2,2,2,18,10,8
34,-1,-1,-1,-1,-1,0,-1,-1,0,-7,-4,-3
35,1,1,1,0,1,0,1,0,1,6,5,1
36,0,0,1,1,1,0,1,1,1,6,4,2
37,0,0,0,0,0,0,0,0,0,0,0,0
38,1,1,1,1,1,1,1,1,2,10,6,4
