"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,1,1,1,1,1,0,1,0,0,6,4,2
2,0,0,1,1,0,1,2,1,0,6,3,3
3,1,1,1,1,1,1,1,1,0,8,4,4
4,1,1,2,1,1,1,1,1,0,9,5,4
5,1,1,1,1,1,1,1,1,0,8,4,4
6,1,1,1,1,0,1,2,1,0,8,4,4
7,0,0,0,0,0,0,0,0,1,1,1,0
8,2,2,2,0,2,1,2,2,0,13,8,5
9,0,-1,0,0,1,0,1,0,0,1,2,-1
10,1,0,1,0,1,1,1,0,1,6,5,1
11,0,-1,1,0,1,0,0,1,1,3,3,0
12,1,0,0,0,1,0,1,1,1,5,4,1
13,0,0,0,0,0,0,0,0,0,0,0,0
14,2,1,1,0,1,2,1,1,2,11,7,4
15,1,-1,0,-1,-1,0,-1,-1,0,-4,-1,-3
16,1,1,1,1,1,1,1,1,1,9,5,4
17,2,-1,1,1,0,1,2,2,0,8,5,3
18,1,1,1,1,1,0,1,1,1,8,5,3
19,0,0,0,1,1,0,0,1,0,3,1,2
20,0,0,0,0,1,0,1,1,1,4,3,1
21,2,2,1,1,2,1,2,1,0,12,7,5
22,0,-2,0,0,0,-1,0,-1,1,-3,1,-4
23,1,0,0,1,-1,-1,1,-2,0,-1,1,-2
24,0,0,1,1,0,0,1,-1,1,3,3,0
25,1,-1,0,-1,1,-1,1,1,1,2,4,-2
26,0,1,0,1,0,1,1,0,1,5,2,3
27,1,0,1,1,0,0,1,0,1,5,4,1
28,2,1,1,0,0,0,1,1,1,7,5,2
29,1,1,1,1,1,1,1,1,0,8,4,4
30,1,0,0,0,1,0,1,0,0,3,3,0
31,2,0,0,0,1,0,1,1,0,5,4,1
32,0,-1,-1,-1,0,0,1,0,1,-1,1,-2
33,2,2,1,2,2,2,2,2,2,17,9,8
34,1,0,0,-1,0,0,1,0,0,1,2,-1
35,1,0,0,0,1,0,0,1,1,4,3,1
36,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,-1,0,-1,1
38,-1,-1,-1,-2,-1,-2,0,-2,1,-9,-2,-7
