"id","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_gesamt","acc_usable","acc_satisfying"
1,2,0,-2,2,2,0,2,0,0,6,4,2
2,1,2,-2,1,2,-1,1,-2,0,2,2,0
3,2,0,0,2,-1,0,2,0,0,5,3,2
4,1,0,-2,2,0,-2,2,-2,2,1,3,-2
5,0,2,-2,2,0,-2,0,-2,0,-2,-2,0
6,2,2,-2,0,2,0,1,-2,2,5,5,0
7,0,0,0,0,0,0,0,0,2,2,2,0
8,1,1,-1,2,1,-1,1,-1,0,3,2,1
9,2,0,0,0,0,0,2,0,0,4,4,0
10,2,0,0,0,2,0,2,0,2,8,8,0
11,0,-1,0,0,0,0,0,0,2,1,2,-1
12,0,-1,-1,-1,0,0,0,0,2,-1,1,-2
13,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2,-1,2,1,-2,1,-1,1,4,3,1
15,2,0,0,2,2,0,2,0,0,8,6,2
16,2,2,-2,2,2,-2,2,-2,2,6,6,0
17,1,-1,-2,2,2,-2,2,-2,-1,-1,2,-3
18,1,2,-2,1,1,-2,1,-1,0,1,1,0
19,0,0,0,2,2,0,2,-2,2,6,6,0
20,2,0,0,0,2,0,2,0,2,8,8,0
21,1,1,-2,2,1,-1,1,0,2,5,3,2
22,1,1,-1,1,2,-2,2,-2,1,3,5,-2
23,1,-1,-1,-2,-1,-1,2,-2,2,-3,3,-6
24,2,0,-2,2,2,-2,2,0,2,6,6,0
25,2,-1,0,-1,2,0,2,-2,2,4,8,-4
26,0,2,-2,-1,0,-2,2,0,2,1,2,-1
27,2,-1,0,0,-1,0,2,0,2,4,5,-1
28,2,0,-2,0,2,0,0,-1,2,3,4,-1
29,2,2,-1,0,2,-2,2,-1,0,4,5,-1
30,2,2,-2,2,2,-2,2,-2,2,6,6,0
31,1,-1,-2,-1,1,0,2,0,0,0,2,-2
32,0,-1,0,0,-1,0,0,0,0,-2,-1,-1
33,1,1,-1,1,1,-1,1,-1,1,3,3,0
34,2,2,0,-1,0,0,0,0,0,3,2,1
35,2,2,-2,0,2,-2,2,-2,2,4,6,-2
36,0,0,0,0,0,0,-1,-1,0,-2,-1,-1
37,0,2,0,0,0,0,0,0,-1,1,-1,2
38,-1,-1,-1,-1,0,-1,2,-1,2,-2,2,-4
