Anfangszeit - hh:mm:ss.ms	Anfangszeit - ss.msec	Anfangszeit - msec	Endzeit - hh:mm:ss.ms	Endzeit - ss.msec	Endzeit - msec	Dauer - hh:mm:ss.ms	Dauer - ss.msec	Dauer - msec	Blickzuwendung	Aktion	Interface-Bildnr.	Datei	Verzeichnis (Pfad)
00:24:32.120	1472.12	1472120	00:24:41.323	1481.323	1481323	00:00:09.203	9.203	9203	1	1	2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:24:46.924	1486.924	1486924	00:24:48.485	1488.485	1488485	00:00:01.561	1.561	1561	1	1	2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:25:16.366	1516.366	1516366	00:25:21.087	1521.087	1521087	00:00:04.721	4.721	4721	1		2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:26:11.689	1571.689	1571689	00:26:17.051	1577.051	1577051	00:00:05.362	5.362	5362	1		2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:26:26.973	1586.973	1586973	00:26:29.014	1589.014	1589014	00:00:02.041	2.041	2041	1	1	2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:18.910	1878.91	1878910	00:31:20.351	1880.351	1880351	00:00:01.441	1.441	1441	1	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:21.071	1881.071	1881071	00:31:22.751	1882.751	1882751	00:00:01.680	1.68	1680	1	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:23.592	1883.592	1883592	00:31:24.832	1884.832	1884832	00:00:01.240	1.24	1240	1	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:26.712	1886.712	1886712	00:31:28.153	1888.153	1888153	00:00:01.441	1.441	1441	1	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:29.073	1889.073	1889073	00:31:29.393	1889.393	1889393	00:00:00.320	0.32	320	1		3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:52.834	1912.834	1912834	00:31:54.435	1914.435	1914435	00:00:01.601	1.601	1601	1	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:55.355	1915.355	1915355	00:31:56.276	1916.276	1916276	00:00:00.921	0.921	921	1	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:32:01.837	1921.837	1921837	00:32:03.157	1923.157	1923157	00:00:01.320	1.32	1320	1	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
