Anfangszeit - hh:mm:ss.ms	Anfangszeit - ss.msec	Anfangszeit - msec	Endzeit - hh:mm:ss.ms	Endzeit - ss.msec	Endzeit - msec	Dauer - hh:mm:ss.ms	Dauer - ss.msec	Dauer - msec	Aktion	Interface-Bildnr.	Datei	Verzeichnis (Pfad)
00:17:14.000	1034.0	1034000	00:17:16.200	1036.2	1036200	00:00:02.200	2.2	2200	1	1	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:17:29.680	1049.68	1049680	00:17:32.241	1052.241	1052241	00:00:02.561	2.561	2561	1	1	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:18:04.613	1084.613	1084613	00:18:07.613	1087.613	1087613	00:00:03.000	3.0	3000	1	1	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:24:31.840	1471.84	1471840	00:24:49.000	1489.0	1489000	00:00:17.160	17.16	17160	1	2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:25:16.441	1516.441	1516441	00:25:22.282	1522.282	1522282	00:00:05.841	5.841	5841	1	2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:26:11.722	1571.722	1571722	00:26:29.406	1589.406	1589406	00:00:17.684	17.684	17684	1	2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:18.860	1878.86	1878860	00:31:28.660	1888.66	1888660	00:00:09.800	9.8	9800	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:31:52.500	1912.5	1912500	00:32:03.620	1923.62	1923620	00:00:11.120	11.12	11120	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:32:19.780	1939.78	1939780	00:32:25.180	1945.18	1945180	00:00:05.400	5.4	5400	1	3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:36:55.561	2215.561	2215561	00:37:02.842	2222.842	2222842	00:00:07.281	7.281	7281	1	4	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:37:30.842	2250.842	2250842	00:37:34.963	2254.963	2254963	00:00:04.121	4.121	4121	1	4	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:38:35.049	2315.049	2315049	00:38:35.089	2315.089	2315089	00:00:00.040	0.04	40	1	4	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:38:35.089	2315.089	2315089	00:38:42.849	2322.849	2322849	00:00:07.760	7.76	7760	1	4	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:16:10.100	970.1	970100	00:19:39.100	1179.1	1179100	00:03:29.000	209.0	209000		1	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:24:03.100	1443.1	1443100	00:27:40.100	1660.1	1660100	00:03:37.000	217.0	217000		2	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:29:58.100	1798.1	1798100	00:33:01.100	1981.1	1981100	00:03:03.000	183.0	183000		3	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:36:09.100	2169.1	2169100	00:39:42.100	2382.1	2382100	00:03:33.000	213.0	213000		4	Vp402-1.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-1.eaf
00:01:17.340	77.34	77340	00:01:30.588	90.588	90588	00:00:13.248	13.248	13248	1	4	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:01:52.708	112.708	112708	00:01:58.870	118.87	118870	00:00:06.162	6.162	6162	1	4	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:02:57.110	177.11	177110	00:03:05.112	185.112	185112	00:00:08.002	8.002	8002	1	4	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:09:20.924	560.924	560924	00:09:22.924	562.924	562924	00:00:02.000	2.0	2000	1	5	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:09:42.360	582.36	582360	00:09:44.881	584.881	584881	00:00:02.521	2.521	2521	1	5	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:10:17.082	617.082	617082	00:10:19.482	619.482	619482	00:00:02.400	2.4	2400	1	5	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:14:18.861	858.861	858861	00:14:21.941	861.941	861941	00:00:03.080	3.08	3080	1	6	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:15:01.950	901.95	901950	00:15:03.950	903.95	903950	00:00:02.000	2.0	2000	1	6	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:15:39.424	939.424	939424	00:15:43.025	943.025	943025	00:00:03.601	3.601	3601	1	6	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
00:19:44.780	1184.78	1184780	00:19:46.500	1186.5	1186500	00:00:01.720	1.72	1720	1	7	Vp402-2.eaf	file:///D:/Projekte/LG_2013-2017_Gesture-based-interaction/Studie-4_Fahrsimulator/Daten/Videoannotation/Vp402-2.eaf
