code;name
0;linenr00
1;eltime01
2;lonacc02
3;latacc03
4;lonvel04
5;latvel05
6;lodist06
7;latpos07
8;v.curv08
9;r.curv09
10;headan10
11;stewan11
12;t.lacc12
13;b.lacc13
14;slight14
15;ho.div15
16;ld.div16
17;ru.div17
18;crashs18
19;trafdat19
20;-
21;-
22;marker22
23;spedmh23
24;yawrat24
25;trgear25
26;ic.ste26
27;ic.thr27
28;ic.bra28
29;vieang29
30;pitcha30
31;rolla31
32;swrate32
33;lpansc33
34;rpansc34
35;mddttc35
36;mddran36
37;modttc37
38;modran38
39;systim39
40;rt.div40
41;iheada41
42;inbutt42
43;-
44;ms.spl44
45;trignu45
46;specobj46
47;-
48;-
49;om49
50;ks.spl50
